Date,YYYYMMDD,YYYYMM,YYYY.W,YYYY,Location,Card,Delta,Balance,Category,Tags
12/13/2021,20211213,202112,2021.5,2021,Entergy,Debit-Card,540,-958,utility,"None,"
12/13/2021,20211213,202112,2021.5,2021,Delta Air Lines,Debit-Card,-229,-1498,travel,"None,"
12/13/2021,20211213,202112,2021.5,2021,Hanesbrands,Debit-Card,124,-1269,unk,"None,"
12/10/2021,20211210,202112,2021.49,2021,TIAA,Debit-Card,-241,-1393,unk,"None,"
12/09/2021,20211209,202112,2021.49,2021,Walmart,Debit-Card,-146,-1152,grocery,"None,"
12/09/2021,20211209,202112,2021.49,2021,Walmart,Debit-Card,-584,-1006,grocery,"None,"
12/09/2021,20211209,202112,2021.49,2021,Hewlett Packard Enterprise,Debit-Card,49,-422,tech,"None,"
12/08/2021,20211208,202112,2021.49,2021,Sysco,Debit-Card,289,-471,misc,"None,"
12/07/2021,20211207,202112,2021.49,2021,Tapestry,Debit-Card,713,-760,clothing,"None,"
12/06/2021,20211206,202112,2021.49,2021,Ulta Beauty,Debit-Card,315,-1473,health,"None,"
12/06/2021,20211206,202112,2021.49,2021,Entergy,Debit-Card,-842,-1788,utility,"None,"
12/06/2021,20211206,202112,2021.49,2021,Tapestry,Debit-Card,-674,-946,clothing,"None,"
12/06/2021,20211206,202112,2021.49,2021,CBRE Group,Debit-Card,397,-272,invest,"None,"
12/03/2021,20211203,202112,2021.48,2021,CBRE Group,Debit-Card,319,-669,invest,"None,"
12/03/2021,20211203,202112,2021.48,2021,Hewlett Packard Enterprise,Debit-Card,-286,-988,tech,"None,"
12/02/2021,20211202,202112,2021.48,2021,Entergy,Debit-Card,999,-702,utility,"None,"
12/01/2021,20211201,202112,2021.48,2021,TIAA,Debit-Card,693,-1701,unk,"None,"
11/30/2021,20211130,202111,2021.48,2021,CBRE Group,Debit-Card,240,-2394,invest,"None,"
11/30/2021,20211130,202111,2021.48,2021,TIAA,Debit-Card,-192,-2634,unk,"None,"
11/30/2021,20211130,202111,2021.48,2021,Ulta Beauty,Debit-Card,924,-2442,health,"None,"
11/30/2021,20211130,202111,2021.48,2021,Ulta Beauty,Debit-Card,53,-3366,health,"None,"
11/30/2021,20211130,202111,2021.48,2021,CBRE Group,Debit-Card,122,-3419,invest,"None,"
11/29/2021,20211129,202111,2021.48,2021,Hanesbrands,Debit-Card,794,-3541,unk,"None,"
11/29/2021,20211129,202111,2021.48,2021,TIAA,Debit-Card,348,-4335,unk,"None,"
11/29/2021,20211129,202111,2021.48,2021,Voya Financial,Debit-Card,940,-4683,invest,"None,"
11/26/2021,20211126,202111,2021.47,2021,PPL,Debit-Card,-219,-5623,paypal,"None,"
11/26/2021,20211126,202111,2021.47,2021,Travelers,Debit-Card,-11,-5404,travel,"None,"
11/26/2021,20211126,202111,2021.47,2021,Cognizant Technology Solutions,Debit-Card,759,-5393,tech,"None,"
11/24/2021,20211124,202111,2021.47,2021,Cognizant Technology Solutions,Debit-Card,-751,-6152,tech,"None,"
11/24/2021,20211124,202111,2021.47,2021,CBRE Group,Debit-Card,294,-5401,invest,"None,"
11/24/2021,20211124,202111,2021.47,2021,Tapestry,Debit-Card,70,-5695,clothing,"None,"
11/23/2021,20211123,202111,2021.47,2021,Cognizant Technology Solutions,Debit-Card,-473,-5765,tech,"None,"
11/23/2021,20211123,202111,2021.47,2021,Hershey,Debit-Card,-431,-5292,grocery,"None,"
11/23/2021,20211123,202111,2021.47,2021,Quest Diagnostics,Debit-Card,109,-4861,health,"None,"
11/23/2021,20211123,202111,2021.47,2021,Hanesbrands,Debit-Card,81,-4970,unk,"None,"
11/23/2021,20211123,202111,2021.47,2021,PPL,Debit-Card,835,-5051,paypal,"None,"
11/22/2021,20211122,202111,2021.47,2021,Hershey,Debit-Card,591,-5886,grocery,"None,"
11/22/2021,20211122,202111,2021.47,2021,PPL,Debit-Card,-745,-6477,paypal,"None,"
11/22/2021,20211122,202111,2021.47,2021,TIAA,Debit-Card,-837,-5732,unk,"None,"
11/22/2021,20211122,202111,2021.47,2021,Ulta Beauty,Debit-Card,-418,-4895,health,"None,"
11/22/2021,20211122,202111,2021.47,2021,Sysco,Debit-Card,99,-4477,misc,"None,"
11/22/2021,20211122,202111,2021.47,2021,Travelers,Debit-Card,396,-4576,travel,"None,"
11/19/2021,20211119,202111,2021.46,2021,Cognizant Technology Solutions,Debit-Card,780,-4972,tech,"None,"
11/18/2021,20211118,202111,2021.46,2021,United Continental Holdings,Debit-Card,530,-5752,invest,"None,"
11/18/2021,20211118,202111,2021.46,2021,TIAA,Debit-Card,-401,-6282,unk,"None,"
11/18/2021,20211118,202111,2021.46,2021,CBRE Group,Debit-Card,-491,-5881,invest,"None,"
11/17/2021,20211117,202111,2021.46,2021,CBRE Group,Debit-Card,28,-5390,invest,"None,"
11/17/2021,20211117,202111,2021.46,2021,Hershey,Debit-Card,995,-5418,grocery,"None,"
11/16/2021,20211116,202111,2021.46,2021,Entergy,Debit-Card,751,-6413,utility,"None,"
11/16/2021,20211116,202111,2021.46,2021,Delta Air Lines,Debit-Card,310,-7164,travel,"None,"
11/15/2021,20211115,202111,2021.46,2021,CBRE Group,Debit-Card,169,-7474,invest,"None,"
11/15/2021,20211115,202111,2021.46,2021,PPL,Debit-Card,82,-7643,paypal,"None,"
11/15/2021,20211115,202111,2021.46,2021,Walmart,Debit-Card,942,-7725,grocery,"None,"
11/12/2021,20211112,202111,2021.45,2021,Visa,Debit-Card,38,-8667,debt,"None,"
11/12/2021,20211112,202111,2021.45,2021,Hershey,Debit-Card,931,-8705,grocery,"None,"
11/12/2021,20211112,202111,2021.45,2021,PPL,Debit-Card,-629,-9636,paypal,"None,"
11/12/2021,20211112,202111,2021.45,2021,Sysco,Debit-Card,-633,-9007,misc,"None,"
11/12/2021,20211112,202111,2021.45,2021,Quest Diagnostics,Debit-Card,-436,-8374,health,"None,"
11/12/2021,20211112,202111,2021.45,2021,Entergy,Debit-Card,-113,-7938,utility,"None,"
11/12/2021,20211112,202111,2021.45,2021,Tapestry,Debit-Card,-90,-7825,clothing,"None,"
11/10/2021,20211110,202111,2021.45,2021,PPL,Debit-Card,-233,-7735,paypal,"None,"
11/09/2021,20211109,202111,2021.45,2021,CBRE Group,Debit-Card,131,-7502,invest,"None,"
11/08/2021,20211108,202111,2021.45,2021,United Continental Holdings,Debit-Card,787,-7633,invest,"None,"
11/08/2021,20211108,202111,2021.45,2021,PPL,Debit-Card,995,-8420,paypal,"None,"
11/08/2021,20211108,202111,2021.45,2021,CBRE Group,Debit-Card,226,-9415,invest,"None,"
11/08/2021,20211108,202111,2021.45,2021,Cognizant Technology Solutions,Debit-Card,-844,-9641,tech,"None,"
11/08/2021,20211108,202111,2021.45,2021,Travelers,Debit-Card,-536,-8797,travel,"None,"
11/08/2021,20211108,202111,2021.45,2021,Walmart,Debit-Card,-113,-8261,grocery,"None,"
11/05/2021,20211105,202111,2021.44,2021,Tapestry,Debit-Card,124,-8148,clothing,"None,"
11/05/2021,20211105,202111,2021.44,2021,Delta Air Lines,Debit-Card,-883,-8272,travel,"None,"
11/05/2021,20211105,202111,2021.44,2021,CBRE Group,Debit-Card,397,-7389,invest,"None,"
11/04/2021,20211104,202111,2021.44,2021,Visa,Debit-Card,-650,-7786,debt,"None,"
11/04/2021,20211104,202111,2021.44,2021,PPL,Debit-Card,-107,-7136,paypal,"None,"
11/03/2021,20211103,202111,2021.44,2021,Tapestry,Debit-Card,-76,-7029,clothing,"None,"
11/02/2021,20211102,202111,2021.44,2021,TIAA,Debit-Card,358,-6953,unk,"None,"
11/02/2021,20211102,202111,2021.44,2021,Delta Air Lines,Debit-Card,-926,-7311,travel,"None,"
11/01/2021,20211101,202111,2021.44,2021,TIAA,Debit-Card,191,-6385,unk,"None,"
11/01/2021,20211101,202111,2021.44,2021,Delta Air Lines,Debit-Card,-6,-6576,travel,"None,"
11/01/2021,20211101,202111,2021.44,2021,Voya Financial,Debit-Card,139,-6570,invest,"None,"
11/01/2021,20211101,202111,2021.44,2021,Ulta Beauty,Debit-Card,-589,-6709,health,"None,"
10/29/2021,20211029,202110,2021.43,2021,TIAA,Debit-Card,-134,-6120,unk,"None,"
10/25/2021,20211025,202110,2021.43,2021,Visa,Debit-Card,-670,-5986,debt,"None,"
10/25/2021,20211025,202110,2021.43,2021,Quest Diagnostics,Debit-Card,-476,-5316,health,"None,"
10/25/2021,20211025,202110,2021.43,2021,Hewlett Packard Enterprise,Debit-Card,873,-4840,tech,"None,"
10/25/2021,20211025,202110,2021.43,2021,TIAA,Debit-Card,-303,-5713,unk,"None,"
10/25/2021,20211025,202110,2021.43,2021,PPL,Debit-Card,-690,-5410,paypal,"None,"
10/25/2021,20211025,202110,2021.43,2021,Quest Diagnostics,Debit-Card,525,-4720,health,"None,"
10/22/2021,20211022,202110,2021.42,2021,Hanesbrands,Debit-Card,480,-5245,unk,"None,"
10/22/2021,20211022,202110,2021.42,2021,Walmart,Debit-Card,-926,-5725,grocery,"None,"
10/22/2021,20211022,202110,2021.42,2021,Walmart,Debit-Card,-541,-4799,grocery,"None,"
10/22/2021,20211022,202110,2021.42,2021,Sysco,Debit-Card,-651,-4258,misc,"None,"
10/20/2021,20211020,202110,2021.42,2021,Entergy,Debit-Card,703,-3607,utility,"None,"
10/20/2021,20211020,202110,2021.42,2021,CBRE Group,Debit-Card,829,-4310,invest,"None,"
10/20/2021,20211020,202110,2021.42,2021,Cognizant Technology Solutions,Debit-Card,112,-5139,tech,"None,"
10/19/2021,20211019,202110,2021.42,2021,CBRE Group,Debit-Card,512,-5251,invest,"None,"
10/18/2021,20211018,202110,2021.42,2021,Voya Financial,Debit-Card,646,-5763,invest,"None,"
10/18/2021,20211018,202110,2021.42,2021,Hershey,Debit-Card,555,-6409,grocery,"None,"
10/18/2021,20211018,202110,2021.42,2021,Hershey,Debit-Card,429,-6964,grocery,"None,"
10/18/2021,20211018,202110,2021.42,2021,Delta Air Lines,Debit-Card,352,-7393,travel,"None,"
10/18/2021,20211018,202110,2021.42,2021,Hewlett Packard Enterprise,Debit-Card,-851,-7745,tech,"None,"
10/18/2021,20211018,202110,2021.42,2021,Hanesbrands,Debit-Card,348,-6894,unk,"None,"
10/18/2021,20211018,202110,2021.42,2021,Quest Diagnostics,Debit-Card,-637,-7242,health,"None,"
10/18/2021,20211018,202110,2021.42,2021,Voya Financial,Debit-Card,-587,-6605,invest,"None,"
10/15/2021,20211015,202110,2021.41,2021,Voya Financial,Debit-Card,-887,-6018,invest,"None,"
10/15/2021,20211015,202110,2021.41,2021,Walmart,Debit-Card,245,-5131,grocery,"None,"
10/15/2021,20211015,202110,2021.41,2021,CBRE Group,Debit-Card,415,-5376,invest,"None,"
10/14/2021,20211014,202110,2021.41,2021,Hershey,Debit-Card,-401,-5791,grocery,"None,"
10/14/2021,20211014,202110,2021.41,2021,PPL,Debit-Card,-836,-5390,paypal,"None,"
10/13/2021,20211013,202110,2021.41,2021,United Continental Holdings,Debit-Card,741,-4554,invest,"None,"
10/12/2021,20211012,202110,2021.41,2021,Visa,Debit-Card,-879,-5295,debt,"None,"
10/12/2021,20211012,202110,2021.41,2021,Ulta Beauty,Debit-Card,-357,-4416,health,"None,"
10/12/2021,20211012,202110,2021.41,2021,Voya Financial,Debit-Card,-762,-4059,invest,"None,"
10/12/2021,20211012,202110,2021.41,2021,Delta Air Lines,Debit-Card,-408,-3297,travel,"None,"
10/12/2021,20211012,202110,2021.41,2021,TIAA,Debit-Card,64,-2889,unk,"None,"
10/12/2021,20211012,202110,2021.41,2021,TIAA,Debit-Card,333,-2953,unk,"None,"
10/08/2021,20211008,202110,2021.4,2021,Hewlett Packard Enterprise,Debit-Card,-308,-3286,tech,"None,"
10/07/2021,20211007,202110,2021.4,2021,Entergy,Debit-Card,-829,-2978,utility,"None,"
10/06/2021,20211006,202110,2021.4,2021,Entergy,Debit-Card,-796,-2149,utility,"None,"
10/04/2021,20211004,202110,2021.4,2021,Quest Diagnostics,Debit-Card,930,-1353,health,"None,"
10/04/2021,20211004,202110,2021.4,2021,Hershey,Debit-Card,-337,-2283,grocery,"None,"
10/04/2021,20211004,202110,2021.4,2021,Walmart,Debit-Card,252,-1946,grocery,"None,"
10/01/2021,20211001,202110,2021.39,2021,Tapestry,Debit-Card,968,-2198,clothing,"None,"
09/30/2021,20210930,202109,2021.39,2021,Amazon.com,Debit-Card,-64,-3166,misc,"None,"
09/29/2021,20210929,202109,2021.39,2021,Sysco,Debit-Card,191,-3102,misc,"None,"
09/29/2021,20210929,202109,2021.39,2021,Hanesbrands,Debit-Card,-912,-3293,unk,"None,"
09/28/2021,20210928,202109,2021.39,2021,Hanesbrands,Debit-Card,-24,-2381,unk,"None,"
09/27/2021,20210927,202109,2021.39,2021,Amazon.com,Debit-Card,105,-2357,misc,"None,"
09/27/2021,20210927,202109,2021.39,2021,Visa,Debit-Card,-400,-2462,debt,"None,"
09/27/2021,20210927,202109,2021.39,2021,Delta Air Lines,Debit-Card,-695,-2062,travel,"None,"
09/27/2021,20210927,202109,2021.39,2021,Amazon.com,Debit-Card,-381,-1367,misc,"None,"
09/27/2021,20210927,202109,2021.39,2021,Hewlett Packard Enterprise,Debit-Card,-269,-986,tech,"None,"
09/24/2021,20210924,202109,2021.38,2021,Delta Air Lines,Debit-Card,-866,-717,travel,"None,"
09/24/2021,20210924,202109,2021.38,2021,TIAA,Debit-Card,-840,149,unk,"None,"
09/22/2021,20210922,202109,2021.38,2021,Cognizant Technology Solutions,Debit-Card,746,989,tech,"None,"
09/21/2021,20210921,202109,2021.38,2021,Voya Financial,Debit-Card,-712,243,invest,"None,"
09/21/2021,20210921,202109,2021.38,2021,TIAA,Debit-Card,277,955,unk,"None,"
09/21/2021,20210921,202109,2021.38,2021,Sysco,Debit-Card,469,678,misc,"None,"
09/21/2021,20210921,202109,2021.38,2021,Tapestry,Debit-Card,705,209,clothing,"None,"
09/21/2021,20210921,202109,2021.38,2021,Delta Air Lines,Debit-Card,-293,-496,travel,"None,"
09/20/2021,20210920,202109,2021.38,2021,Voya Financial,Debit-Card,491,-203,invest,"None,"
09/20/2021,20210920,202109,2021.38,2021,Voya Financial,Debit-Card,828,-694,invest,"None,"
09/20/2021,20210920,202109,2021.38,2021,Hewlett Packard Enterprise,Debit-Card,692,-1522,tech,"None,"
09/20/2021,20210920,202109,2021.38,2021,TIAA,Debit-Card,-228,-2214,unk,"None,"
09/20/2021,20210920,202109,2021.38,2021,Entergy,Debit-Card,-371,-1986,utility,"None,"
09/20/2021,20210920,202109,2021.38,2021,Quest Diagnostics,Debit-Card,62,-1615,health,"None,"
09/20/2021,20210920,202109,2021.38,2021,Sysco,Debit-Card,-324,-1677,misc,"None,"
09/17/2021,20210917,202109,2021.37,2021,United Continental Holdings,Debit-Card,-187,-1353,invest,"None,"
09/16/2021,20210916,202109,2021.37,2021,Omnicom Group,Debit-Card,-329,-1166,health,"None,"
09/16/2021,20210916,202109,2021.37,2021,Voya Financial,Debit-Card,919,-837,invest,"None,"
09/15/2021,20210915,202109,2021.37,2021,Walmart,Debit-Card,701,-1756,grocery,"None,"
09/15/2021,20210915,202109,2021.37,2021,Travelers,Debit-Card,356,-2457,travel,"None,"
09/13/2021,20210913,202109,2021.37,2021,Hanesbrands,Debit-Card,250,-2813,unk,"None,"
09/13/2021,20210913,202109,2021.37,2021,Hershey,Debit-Card,215,-3063,grocery,"None,"
09/13/2021,20210913,202109,2021.37,2021,PPL,Debit-Card,26,-3278,paypal,"None,"
09/13/2021,20210913,202109,2021.37,2021,Tapestry,Debit-Card,831,-3304,clothing,"None,"
09/10/2021,20210910,202109,2021.36,2021,TIAA,Debit-Card,-380,-4135,unk,"None,"
09/10/2021,20210910,202109,2021.36,2021,Visa,Debit-Card,-176,-3755,debt,"None,"
09/09/2021,20210909,202109,2021.36,2021,Amazon.com,Debit-Card,-463,-3579,misc,"None,"
09/07/2021,20210907,202109,2021.36,2021,Amazon.com,Debit-Card,-870,-3116,misc,"None,"
09/07/2021,20210907,202109,2021.36,2021,Hewlett Packard Enterprise,Debit-Card,-783,-2246,tech,"None,"
09/07/2021,20210907,202109,2021.36,2021,Sysco,Debit-Card,801,-1463,misc,"None,"
09/07/2021,20210907,202109,2021.36,2021,Travelers,Debit-Card,723,-2264,travel,"None,"
09/07/2021,20210907,202109,2021.36,2021,Voya Financial,Debit-Card,-671,-2987,invest,"None,"
09/07/2021,20210907,202109,2021.36,2021,Hanesbrands,Debit-Card,222,-2316,unk,"None,"
09/07/2021,20210907,202109,2021.36,2021,Hewlett Packard Enterprise,Debit-Card,816,-2538,tech,"None,"
09/03/2021,20210903,202109,2021.35,2021,Travelers,Debit-Card,617,-3354,travel,"None,"
09/03/2021,20210903,202109,2021.35,2021,PPL,Debit-Card,114,-3971,paypal,"None,"
09/03/2021,20210903,202109,2021.35,2021,Delta Air Lines,Debit-Card,-358,-4085,travel,"None,"
09/02/2021,20210902,202109,2021.35,2021,Amazon.com,Debit-Card,272,-3727,misc,"None,"
09/01/2021,20210901,202109,2021.35,2021,Entergy,Debit-Card,-100,-3999,utility,"None,"
09/01/2021,20210901,202109,2021.35,2021,Entergy,Debit-Card,-399,-3899,utility,"None,"
09/01/2021,20210901,202109,2021.35,2021,Travelers,Debit-Card,-726,-3500,travel,"None,"
08/31/2021,20210831,202108,2021.35,2021,Hershey,Debit-Card,510,-2774,grocery,"None,"
08/30/2021,20210830,202108,2021.35,2021,Tapestry,Debit-Card,163,-3284,clothing,"None,"
08/30/2021,20210830,202108,2021.35,2021,Hanesbrands,Debit-Card,801,-3447,unk,"None,"
08/30/2021,20210830,202108,2021.35,2021,Tapestry,Debit-Card,59,-4248,clothing,"None,"
08/30/2021,20210830,202108,2021.35,2021,Visa,Debit-Card,-538,-4307,debt,"None,"
08/27/2021,20210827,202108,2021.34,2021,Sysco,Debit-Card,-844,-3769,misc,"None,"
08/27/2021,20210827,202108,2021.34,2021,Hershey,Debit-Card,-665,-2925,grocery,"None,"
08/26/2021,20210826,202108,2021.34,2021,Sysco,Debit-Card,671,-2260,misc,"None,"
08/25/2021,20210825,202108,2021.34,2021,Voya Financial,Debit-Card,-64,-2931,invest,"None,"
08/25/2021,20210825,202108,2021.34,2021,Voya Financial,Debit-Card,638,-2867,invest,"None,"
08/24/2021,20210824,202108,2021.34,2021,Ulta Beauty,Debit-Card,871,-3505,health,"None,"
08/24/2021,20210824,202108,2021.34,2021,Omnicom Group,Debit-Card,-977,-4376,health,"None,"
08/24/2021,20210824,202108,2021.34,2021,Ulta Beauty,Debit-Card,-20,-3399,health,"None,"
08/24/2021,20210824,202108,2021.34,2021,TIAA,Debit-Card,-171,-3379,unk,"None,"
08/24/2021,20210824,202108,2021.34,2021,Tapestry,Debit-Card,982,-3208,clothing,"None,"
08/23/2021,20210823,202108,2021.34,2021,Walmart,Debit-Card,224,-4190,grocery,"None,"
08/23/2021,20210823,202108,2021.34,2021,Cognizant Technology Solutions,Debit-Card,680,-4414,tech,"None,"
08/23/2021,20210823,202108,2021.34,2021,Entergy,Debit-Card,-405,-5094,utility,"None,"
08/23/2021,20210823,202108,2021.34,2021,Voya Financial,Debit-Card,289,-4689,invest,"None,"
08/20/2021,20210820,202108,2021.33,2021,Hershey,Debit-Card,-799,-4978,grocery,"None,"
08/20/2021,20210820,202108,2021.33,2021,Delta Air Lines,Debit-Card,-531,-4179,travel,"None,"
08/20/2021,20210820,202108,2021.33,2021,CBRE Group,Debit-Card,-734,-3648,invest,"None,"
08/20/2021,20210820,202108,2021.33,2021,Amazon.com,Debit-Card,-978,-2914,misc,"None,"
08/20/2021,20210820,202108,2021.33,2021,Sysco,Debit-Card,917,-1936,misc,"None,"
08/19/2021,20210819,202108,2021.33,2021,CBRE Group,Debit-Card,-393,-2853,invest,"None,"
08/18/2021,20210818,202108,2021.33,2021,PPL,Debit-Card,485,-2460,paypal,"None,"
08/18/2021,20210818,202108,2021.33,2021,Walmart,Debit-Card,574,-2945,grocery,"None,"
08/17/2021,20210817,202108,2021.33,2021,Ulta Beauty,Debit-Card,-846,-3519,health,"None,"
08/17/2021,20210817,202108,2021.33,2021,Visa,Debit-Card,-594,-2673,debt,"None,"
08/17/2021,20210817,202108,2021.33,2021,Sysco,Debit-Card,-780,-2079,misc,"None,"
08/16/2021,20210816,202108,2021.33,2021,PPL,Debit-Card,395,-1299,paypal,"None,"
08/13/2021,20210813,202108,2021.32,2021,Quest Diagnostics,Debit-Card,-82,-1694,health,"None,"
08/13/2021,20210813,202108,2021.32,2021,Quest Diagnostics,Debit-Card,-98,-1612,health,"None,"
08/13/2021,20210813,202108,2021.32,2021,Omnicom Group,Debit-Card,583,-1514,health,"None,"
08/12/2021,20210812,202108,2021.32,2021,Entergy,Debit-Card,61,-2097,utility,"None,"
08/12/2021,20210812,202108,2021.32,2021,Sysco,Debit-Card,-38,-2158,misc,"None,"
08/12/2021,20210812,202108,2021.32,2021,Walmart,Debit-Card,-444,-2120,grocery,"None,"
08/12/2021,20210812,202108,2021.32,2021,Tapestry,Debit-Card,-190,-1676,clothing,"None,"
08/12/2021,20210812,202108,2021.32,2021,Entergy,Debit-Card,-846,-1486,utility,"None,"
08/11/2021,20210811,202108,2021.32,2021,Hanesbrands,Debit-Card,-670,-640,unk,"None,"
08/10/2021,20210810,202108,2021.32,2021,TIAA,Debit-Card,718,30,unk,"None,"
08/10/2021,20210810,202108,2021.32,2021,PPL,Debit-Card,-595,-688,paypal,"None,"
08/09/2021,20210809,202108,2021.32,2021,Amazon.com,Debit-Card,-974,-93,misc,"None,"
08/09/2021,20210809,202108,2021.32,2021,Ulta Beauty,Debit-Card,-858,881,health,"None,"
08/09/2021,20210809,202108,2021.32,2021,Ulta Beauty,Debit-Card,792,1739,health,"None,"
08/09/2021,20210809,202108,2021.32,2021,Hewlett Packard Enterprise,Debit-Card,-757,947,tech,"None,"
08/09/2021,20210809,202108,2021.32,2021,Tapestry,Debit-Card,161,1704,clothing,"None,"
08/09/2021,20210809,202108,2021.32,2021,Tapestry,Debit-Card,-940,1543,clothing,"None,"
08/09/2021,20210809,202108,2021.32,2021,Hewlett Packard Enterprise,Debit-Card,-966,2483,tech,"None,"
08/05/2021,20210805,202108,2021.31,2021,Visa,Debit-Card,-539,3449,debt,"None,"
08/04/2021,20210804,202108,2021.31,2021,United Continental Holdings,Debit-Card,-56,3988,invest,"None,"
08/03/2021,20210803,202108,2021.31,2021,United Continental Holdings,Debit-Card,-292,4044,invest,"None,"
08/02/2021,20210802,202108,2021.31,2021,Tapestry,Debit-Card,-663,4336,clothing,"None,"
08/02/2021,20210802,202108,2021.31,2021,Hershey,Debit-Card,449,4999,grocery,"None,"
08/02/2021,20210802,202108,2021.31,2021,Sysco,Debit-Card,6,4550,misc,"None,"
08/02/2021,20210802,202108,2021.31,2021,Hanesbrands,Debit-Card,-573,4544,unk,"None,"
08/02/2021,20210802,202108,2021.31,2021,Sysco,Debit-Card,434,5117,misc,"None,"
08/02/2021,20210802,202108,2021.31,2021,Delta Air Lines,Debit-Card,748,4683,travel,"None,"
07/30/2021,20210730,202107,2021.3,2021,Delta Air Lines,Debit-Card,653,3935,travel,"None,"
07/30/2021,20210730,202107,2021.3,2021,Delta Air Lines,Debit-Card,-673,3282,travel,"None,"
07/30/2021,20210730,202107,2021.3,2021,Quest Diagnostics,Debit-Card,523,3955,health,"None,"
07/30/2021,20210730,202107,2021.3,2021,Entergy,Debit-Card,286,3432,utility,"None,"
07/28/2021,20210728,202107,2021.3,2021,Travelers,Debit-Card,880,3146,travel,"None,"
07/27/2021,20210727,202107,2021.3,2021,Walmart,Debit-Card,-236,2266,grocery,"None,"
07/27/2021,20210727,202107,2021.3,2021,Cognizant Technology Solutions,Debit-Card,732,2502,tech,"None,"
07/26/2021,20210726,202107,2021.3,2021,Sysco,Debit-Card,-582,1770,misc,"None,"
07/26/2021,20210726,202107,2021.3,2021,Hanesbrands,Debit-Card,453,2352,unk,"None,"
07/26/2021,20210726,202107,2021.3,2021,Delta Air Lines,Debit-Card,-36,1899,travel,"None,"
07/26/2021,20210726,202107,2021.3,2021,Delta Air Lines,Debit-Card,609,1935,travel,"None,"
07/23/2021,20210723,202107,2021.29,2021,Hewlett Packard Enterprise,Debit-Card,-186,1326,tech,"None,"
07/22/2021,20210722,202107,2021.29,2021,Travelers,Debit-Card,-932,1512,travel,"None,"
07/22/2021,20210722,202107,2021.29,2021,Delta Air Lines,Debit-Card,767,2444,travel,"None,"
07/21/2021,20210721,202107,2021.29,2021,United Continental Holdings,Debit-Card,108,1677,invest,"None,"
07/21/2021,20210721,202107,2021.29,2021,Delta Air Lines,Debit-Card,-998,1569,travel,"None,"
07/21/2021,20210721,202107,2021.29,2021,Hewlett Packard Enterprise,Debit-Card,-70,2567,tech,"None,"
07/20/2021,20210720,202107,2021.29,2021,Voya Financial,Debit-Card,-887,2637,invest,"None,"
07/19/2021,20210719,202107,2021.29,2021,TIAA,Debit-Card,-806,3524,unk,"None,"
